Pcd,Lat,Long,Duration,Old Or New,Prd Category Type,Property Type,Price
CR00QJ,51.352066,-0.010842,F,N,A,T,355000
CR00QJ,51.352066,-0.010842,F,N,A,S,320000
CR00RJ,51.354634,-0.016978,F,N,A,T,307000
CR00RY,51.352706,-0.019977,F,N,A,S,322000
CR00SD,51.354031,-0.010584,L,N,A,F,175000
CR01AH,51.367163,-0.100652,F,N,A,T,382000
CR01AU,51.370772,-0.105847,F,N,A,T,245000
CR01DG,51.368297,-0.10128,L,N,A,F,200000
CR01EQ,51.365031,-0.097838,L,N,A,F,375000
CR01EW,51.363928,-0.096907,L,N,A,F,260000
CR01FY,,-0.0988,L,Y,A,F,435000
CR01FY,,-0.0988,L,Y,A,F,450000
CR01FY,,-0.0988,L,Y,A,F,449999
CR01FY,,-0.0988,L,Y,A,F,350000
CR01FY,,-0.0988,L,Y,A,F,327000
CR01FY,,-0.0988,L,Y,A,F,450000
CR01FY,,-0.0988,L,Y,A,F,450000
CR01GD,,-0.099,L,Y,A,F,305000
CR01HD,51.366582,-0.096467,L,N,A,F,306000
CR01HJ,51.362832,-0.095904,F,N,B,D,840000
CR01HR,51.364306,-0.095872,L,N,A,F,320000
CR01RA,51.37215,-0.107658,F,N,A,S,355000
CR01RH,51.373203,-0.102701,F,N,B,O,1500000
CR01XT,51.376356,-0.103562,L,N,A,F,300000
CR02AX,51.38351,-0.097805,L,N,A,F,279725
CR02AX,51.38351,-0.097805,L,N,A,F,285000
CR02DG,51.387224,-0.088941,L,N,B,O,6000
CR02EA,51.388193,-0.091014,L,N,B,F,259999
CR02GZ,51.38358,-0.099297,L,N,A,F,132500
CR02PT,51.387851,-0.103159,L,Y,A,F,361500
CR02TA,51.378938,-0.10311,L,N,B,O,295000
CR02TN,51.382839,-0.104128,F,N,A,T,455000
CR02UL,51.381027,-0.103268,F,N,B,O,23140688
CR02WB,51.376842,-0.093659,L,N,A,F,405000
CR02XZ,51.384465,-0.099576,F,N,A,T,485112
CR03BP,51.387216,-0.124068,L,N,A,T,300000
CR03EG,51.387221,-0.116522,F,N,B,T,275000
CR03EH,51.387802,-0.119675,F,N,B,T,250000
CR03EL,51.38692,-0.11961,L,N,B,O,230000
CR03EN,51.386839,-0.120145,F,N,B,T,355000
CR03NE,51.382846,-0.120165,F,N,A,T,405000
CR03QB,51.386704,-0.11627,L,N,B,F,226500
CR03QL,51.383209,-0.114204,F,N,A,T,326000
CR03QZ,51.384205,-0.115741,F,N,B,T,370000
