Pcd,Lat,Long,Duration,num_Dur,Old_Or_New,num_Old,Prd_Category_Type,num_Prd,Property_Type,num_Pro,dis_station,station_dis,station_Lat,station_Lng,dis_airport,air_dis,air_Lat,air_Lng,Price
BR51HJ,51.376611,0.076553,F,2,N,2,A,1,S,1.5,15.748,0,51.47,?-0.0942,25.855,0,51.1536621,0.182062,388000
BR51JB,51.387037,0.081452,F,2,N,2,A,1,S,1.5,15.277,0,51.47,?-0.0942,26.877,0,51.1536621,0.182062,875000
BR51LB,51.391172,0.088094,F,2,N,2,A,1,S,1.5,15.38,0,51.47,?-0.0942,27.207,0,51.1536621,0.182062,700000
BR51LH,51.38879,0.07893,F,2,N,2,A,1,S,1.5,15.02,0,51.47,?-0.0942,27.112,0,51.1536621,0.182062,578000
BR51LH,51.38879,0.07893,F,2,N,2,A,1,S,1.5,15.02,0,51.47,?-0.0942,27.112,0,51.1536621,0.182062,550000
BR51NJ,51.394386,0.073189,F,2,N,2,A,1,S,1.5,14.33,1,51.47,?-0.0942,27.818,0,51.1536621,0.182062,810000
BR51NP,51.389517,0.089614,F,2,N,2,A,1,D,2,15.572,0,51.47,?-0.0942,27.003,0,51.1536621,0.182062,1400000
BR51QA,51.392579,0.08179,F,2,N,2,A,1,D,2,14.932,1,51.47,?-0.0942,27.467,0,51.1536621,0.182062,970500
BR51QG,51.385825,0.085335,F,2,N,2,A,1,S,1.5,15.574,0,51.47,?-0.0942,26.678,0,51.1536621,0.182062,710000
BR51QJ,51.389648,0.088312,F,2,N,2,A,1,D,2,15.49,0,51.47,?-0.0942,27.039,0,51.1536621,0.182062,1150000
BR51QR,51.388805,0.085169,F,2,N,2,A,1,S,1.5,15.367,0,51.47,?-0.0942,27.002,0,51.1536621,0.182062,870000
BR51RY,51.377472,0.074652,F,2,N,2,A,1,T,1.5,15.586,0,51.47,?-0.0942,25.984,0,51.1536621,0.182062,430000
BR52AA,51.385995,0.10052,F,2,N,2,A,1,S,1.5,16.416,0,51.47,?-0.0942,26.45,0,51.1536621,0.182062,344000
BR52AP,51.387332,0.098181,F,2,N,2,A,1,S,1.5,16.198,0,51.47,?-0.0942,26.63,0,51.1536621,0.182062,450000
BR52BA,51.383015,0.105212,F,2,N,2,B,2.5,S,1.5,16.873,0,51.47,?-0.0942,26.057,0,51.1536621,0.182062,325000
BR52BB,51.383005,0.104278,F,2,N,2,A,1,S,1.5,16.821,0,51.47,?-0.0942,26.07,0,51.1536621,0.182062,410000
