pcd,price,lng,lat
BR75JB,462500,0.053283,51.410187
BR75JD,362000,0.052384,51.410337
BR75JE,335000,0.05344,51.409204
BR75JG,385000,0.052691,51.41205
BR75JQ,365000,0.053188,51.412239
BR75JW,224000,0.053472,51.411596
BR75JZ,415000,0.058268,51.411044
BR75LX,457000,0.068444,51.41474
BR75LZ,485000,0.060783,51.408769
BR75NA,432500,0.057373,51.408074
BR75NG,417500,0.061269,51.408059
BR75NL,410000,0.056938,51.407677
BR75NY,365000,0.06224,51.407907
BR75QB,331250,0.079188,51.408435
BR75QP,265000,0.063242,51.417071
BR75QS,110000,0.056848,51.406626
BR75RL,425000,0.046091,51.414962
BR76DF,190000,0.059987,51.421769
BR76DG,260000,0.060985,51.422516
BR76DQ,205500,0.059206,51.423905
BR76DT,298500,0.061755,51.423968
BR76EX,284000,0.052528,51.424463
BR76EY,280000,0.053279,51.423892
BR76JB,167500,0.064591,51.422101
BR76LA,310000,0.073254,51.428235
BR76LB,165000,0.074114,51.428165
BR76LF,327500,0.075731,51.412426
BR76LX,319000,0.076358,51.4196
BR76LZ,1450000,0.077021,51.417403
BR76NB,270000,0.076192,51.4191
BR76NF,317500,0.077497,51.41806
BR76NL,1175000,0.0755,51.41717
BR76PT,202500,0.089218,51.415856
BR76QB,285000,0.077818,51.410951
BR76QD,350000,0.078016,51.410812
BR76QF,450000,0.077567,51.410424
BR76SJ,248333.33,0.059328,51.422455
BR76TL,184000,0.078419,51.414303
CR00AJ,251500,-0.000055,51.334616
CR00BE,258500,-0.00741,51.33716
CR00EE,235000,-0.00784,51.339155
CR00ES,250000,-0.008287,51.344747
CR00EU,253000,-0.006264,51.340405
CR00JL,210000,-0.014977,51.341776
CR00PH,270000,-0.013733,51.348653
CR00QA,217500,-0.023605,51.351158
CR00QB,209000,-0.022978,51.350392
CR00SD,187500,-0.010584,51.354031
CR01AJ,180000,-0.100211,51.366014
CR01AN,271000,-0.103304,51.366945
CR01AP,197000,-0.103238,51.366189
CR01BA,250000,-0.09503,51.36762
CR01BQ,250000,-0.095016,51.367278
CR01DG,200000,-0.10128,51.368297
CR01EJ,180000,-0.097366,51.368108
CR01EQ,375000,-0.097838,51.365031
CR01EW,251833.33,-0.096907,51.363928
CR01EX,224000,-0.101058,51.370883
CR01FG,236666.67,-0.102219,51.373042
CR01FN,280000,-0.100976,51.371835
CR01FX,386125,-0.0988,51.3692
CR01FY,393359.88,-0.0988,51.3692
CR01GA,288333.33,-0.099,51.3705
CR01GD,337500,-0.099,51.3705
CR01HA,326000,-0.093592,51.368352
CR01HB,315000,-0.093375,51.371487
CR01HD,306000,-0.096467,51.366582
CR01HF,290000,-0.094075,51.370914
CR01HG,214500,-0.095898,51.365062
CR01HL,185000,-0.095689,51.365949
CR01HN,270000,-0.095429,51.365279
CR01HR,271666.67,-0.095872,51.364306
CR01HU,282500,-0.093868,51.365848
CR01JH,338750,-0.097176,51.369912
CR01JQ,330000,-0.09467,51.370402
CR01JS,178000,-0.095681,51.3696
CR01JY,347500,-0.096942,51.368973
CR01NG,147500,-0.099492,51.368124
CR01QD,353125,-0.100091,51.372037
CR01RF,236350,-0.106297,51.373099
CR01RZ,195000,-0.10165,51.373681
CR01SA,275000,-0.099875,51.364758
CR01SH,153000,-0.102429,51.368666
CR01SQ,345000,-0.101774,51.370949
CR01SZ,235000,-0.101818,51.371273
CR01TZ,116000,-0.102787,51.371469
CR01UA,345000,-0.101564,51.378113
CR01UH,210000,-0.101367,51.371761
CR01XR,270000,-0.105436,51.375864
CR01XS,236220,-0.100059,51.371766
CR01XT,257500,-0.103562,51.376356
CR02AB,277650,-0.097429,51.380105
CR02AE,275256,-0.099073,51.380995
CR02AF,252500,-0.098649,51.381537
CR02AS,333333.33,-0.09685,51.379502
CR02AT,512500,-0.09673,51.380327
CR02AW,225000,-0.096257,51.381678
CR02AX,273056.25,-0.097805,51.38351
CR02BD,251500,-0.092349,51.380283
CR02BF,162000,-0.093532,51.379142
CR02BJ,200000,-0.092234,51.383402
